Name,Artist,Album,Track Number
Let Me Back In,Rilo Kiley,Let Me Back In - Single,1
Please,Lavender Diamond,The Cavalry Of Light,2
Rap God,Eminem,The Marshall Mathers LP2 (Deluxe),9
Back To You,Lil Wayne,I Am Not A Human Being II (Explicit Deluxe Version),6
Bruckner : Symphony No.6 in A major : I Majestoso,Daniel Barenboim & Berlin Philharmonic Orchestra,Bruckner : Symphony No.6 (- Elatus),1
Eleggua (Intro),Ibeyi,Ibeyi,1
Oya,Ibeyi,Ibeyi,2
Ghosts,Ibeyi,Ibeyi,3
River,Ibeyi,Ibeyi,4
Think of You,Ibeyi,Ibeyi,5
Behind the Curtain,Ibeyi,Ibeyi,6
Stranger / Lover,Ibeyi,Ibeyi,7
Mama Says,Ibeyi,Ibeyi,8
Weatherman,Ibeyi,Ibeyi,9
Faithful,Ibeyi,Ibeyi,10
Yanira,Ibeyi,Ibeyi,11
Singles,Ibeyi,Ibeyi,12
Ibeyi (Outro),Ibeyi,Ibeyi,13
"Górecki : Symphony No.3 Op.36, 'Symphony of Sorrowful Songs' : I Lento, sostenuto tranquillo ma cantabile",Ernest Bour & Symphonieorchester des Südwestfunks-Baden-Baden,"Górecki : Symphony No.3, 'Symphony of Sorrowful Songs'",1
"Górecki : Symphony No.3 Op.36, 'Symphony of Sorrowful Songs' : II Lento e Largo",Ernest Bour & Symphonieorchester des Südwestfunks-Baden-Baden,"Górecki : Symphony No.3, 'Symphony of Sorrowful Songs'",2
"Górecki : Symphony No.3 Op.36, 'Symphony of Sorrowful Songs' : III Lento cantabile - semplice",Ernest Bour & Symphonieorchester des Südwestfunks-Baden-Baden,"Górecki : Symphony No.3, 'Symphony of Sorrowful Songs'",3
La Mer: I. from Dawn Till Noon On the Sea (De L'aube À Midi Sur la Mer),Claude Debussy,Classical Best,2
Beethoven Bagattelle in a minor W 59 Für Elise,Ludwig van Beethoven,"Beethoven Works - Ludwig Van Beethoven Songs, Romantic Music and Many Other Classical Music Composers Instrumental Music",26
"8 Humoresques, Op. 101: No. 7 in G flat major",Antonín Dvořák,Dvorak (The Very Best Of),2
Suite IV: Prélude,Johann Sebastian Bach,Bach Cello Suites,19
"‘L’Inverno’ (Winter) Violin Concerto No. 4, RV 297 From “The Four Seasons,"" Op. 8: III Allegro",Antonio Vivaldi,"Vivaldi: The Four Seasons, Saint-Saëns: Introduction and Rondo Capriccioso",12
"I. Langsam, schleppend",Gustav Mahler,"Mahler, G.: Symphony No. 1, ""Titan""",1
