Name,Artist,Album,Track Number
Sunday Candy,Donnie Trumpet & The Social Experiment,Surf,15
Wanna Be Cool,Donnie Trumpet & The Social Experiment,Surf,5
Baby Blue (feat. Chance the Rapper),Action Bronson,Mr. Wonderful,9
Cold Stares (feat. Chance The Rapper & Maceo Haymes),NOSAJ THING,Cold Stares (feat. Chance The Rapper & Maceo Haymes),1
The Way (feat. Chance the Rapper),Kehlani,You Should Be Here,7
Tap Dance (feat. Chance the Rapper & The Social Experiment),Octave Minds,Octave Minds,4
Life Round Here,James Blake,Life Round Here,1
Family (Blended Babies Remix) [feat. Vic Mensa],"Chance the Rapper,Vic Mensa",Family (Blended Babies Remix) [feat. Vic Mensa],1
Three Course Meal (feat. Action Bronson & Chance the Rapper),ProbCause,Three Course Meal (feat. Action Bronson & Chance the Rapper),1
Lsd (feat. Chance the Rapper),ProbCause,The Recipe Volume 2,4
Gentlemen,"Just A Band, Bajah + Chance the Rapper",Red Hot + Fela,10
The Wonder Years (feat. Chance the Rapper & Nico Segal),The O'My's,Chicago Style,1
I. The Worst Guys,Childish Gambino,Because The Internet,5
Out of Sight (feat. Chance the Rapper),Kelsey,A Delightful Sadness,3
"Spaceship II (feat. Chance The Rapper, GLC)",Alex Wiley,Club Wiley,4
"K-Swiss (feat. Chance The Rapper, Vic Mensa)",Alex Wiley,Club Wiley,9
Confident,Justin Bieber,Confident,1
Coast Is Clear,Skrillex,Recess,5
Childs Play (feat. Chance the Rapper),Sza,Z,2
Glam (feat. Chance The Rapper with Macie Stewart),Chuck Inglish,Glam (feat. Chance The Rapper with Macie Stewart),1
Don't Wait (Chance the Rapper & The Social Experiment Remix),Mapei,Don't Wait EP,2
Give and Take (feat. Chance the Rapper),Kembe X,Self Rule,12
Out of Sight (Remix) [feat. Chance the Rapper & DJ Trentino],"Kelsey,Chance the Rapper,DJ Trentino",Out of Sight (Remix) [feat. Chance the Rapper & DJ Trentino],1
Long Night (feat. Chance the Rapper),Hoodie Allen,Crew Cuts,6
Church,BJ The Chicago Kid,Church,1
