Name,Artist,Album,Track Number
Just Saying,Jamie xx,In Colour,5
Chorus,Holly Herndon,Platform,2
Time for Us,Nicolas Jaar,Time for Us,1
Space Is Only Noise If You Can See,Nicolas Jaar,Space Is Only Noise,7
Obvs,Jamie xx,In Colour,4
Uncle Ace,Blood Orange,Cupid Deluxe,3
Mi Mujer,Nicolas Jaar,Time for Us,2
Vanessa,Grimes,Darkbloom,2
Break It to You Gently,Camera Obscura,Desire Lines,11
'Tis a Pity She Was a Whore,David Bowie,'Tis a Pity She Was a Whore,1
Paradise,Wild Nothing,Nocturne,8
Teenage Talk,St. Vincent,Teenage Talk,1
Prince Johnny,St. Vincent,St. Vincent,3
Our Last Night Together,Vera November,Four Songs By Arthur Russell,1
Treasure Of We,Glasser,Ring,8
