Name,Artist,Album,Track Number
Toxic,Britney Spears,In The Zone,6
Rock Your Body,Justin Timberlake,Justified,6
Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,1
Seasons (Waiting On You),Future Islands,Singles,1
Get Lucky,Daft Punk,Random Access Memories,8
A Thousand Miles,Vanessa Carlton,Be Not Nobody,3
All Of The Lights,Kanye West,My Beautiful Dark Twisted Fantasy,5
Glamorous,Fergie,The Dutchess (Deluxe International Version),7
Vanessa,Grimes,Darkbloom,2
Under The Sheets,Ellie Goulding,Bright Lights,4
Lapdance (feat. Lee Harvey & Vita),N.E.R.D,In Search Of... (Original Release),1
Umbrella,Rihanna,Umbrella,1
Genesis,Grimes,Visions,2
Diamonds,Rihanna,Unapologetic,2
Be A Body,Grimes,Visions,8
We Found Love,Rihanna,We Found Love,1
Only Girl (In The World),Rihanna,Loud,5
Anaconda,Nicki Minaj,Anaconda,1
What's My Name?,Rihanna,Loud,2
