Name,Artist,Album,Track Number
Blues For The Orient,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),2
The Plum Blossom,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),1
Chinq Miau,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),3
Don't Blame Me,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),4
Love Theme From Spartacus,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),5
Purple Flower,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),7
Love Theme From The Robe,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),8
The Three Faces Of Balal,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),9
Snafu,Yusef Lateef,Eastern Sounds (Rudy Van Gelder Remaster),6
Just Passing By,Lavender Diamond,Incorruptible Heart,4
I Don't Recall,Lavender Diamond,Incorruptible Heart,3
Dragonfly,Lavender Diamond,Incorruptible Heart,2
Perfect Love,Lavender Diamond,Incorruptible Heart,10
Forgive,Lavender Diamond,Incorruptible Heart,7
Teach Me How To Waken,Lavender Diamond,Incorruptible Heart,5
Come Home,Lavender Diamond,Incorruptible Heart,6
All The Stars,Lavender Diamond,Incorruptible Heart,12
Light My Way,Lavender Diamond,Incorruptible Heart,8
Oh My Beautiful World,Lavender Diamond,Incorruptible Heart,9
Everybody's Song,Lavender Diamond,Incorruptible Heart,11
Everybody's Heart's Breaking Now,Lavender Diamond,Incorruptible Heart,1
Here Comes One,Lavender Diamond,Imagine Our Love,10
When You Wake For Certain,Lavender Diamond,Imagine Our Love,12
Side Of The Lord,Lavender Diamond,Imagine Our Love,4
The Garden Rose,Lavender Diamond,Imagine Our Love,2
Oh No,Lavender Diamond,Imagine Our Love,1
Dance Until It's Tomorrow,Lavender Diamond,Imagine Our Love,6
Open Your Heart,Lavender Diamond,Imagine Our Love,3
Bring Me A Song,Lavender Diamond,Imagine Our Love,9
Find A Way,Lavender Diamond,Imagine Our Love,11
I'll Never Lie Again,Lavender Diamond,Imagine Our Love,5
My Shadow Is A Monday,Lavender Diamond,Imagine Our Love,8
Like An Arrow,Lavender Diamond,Imagine Our Love,7
Walk You Down,Basia Bulat,Heart Of My Own,11
If It Rains,Basia Bulat,Heart Of My Own,12
"Once More, For The Dollhouse",Basia Bulat,Heart Of My Own,10
The Shore,Basia Bulat,Heart Of My Own,9
I'm Forgetting Everyone,Basia Bulat,Heart Of My Own,8
If Only You,Basia Bulat,Heart Of My Own,7
Sparrow,Basia Bulat,Heart Of My Own,6
Heart Of My Own,Basia Bulat,Heart Of My Own,5
Go On,Basia Bulat,Heart Of My Own,1
Run,Basia Bulat,Heart Of My Own,2
Sugar and Spice,Basia Bulat,Heart Of My Own,3
Gold Rush,Basia Bulat,Heart Of My Own,4
I Was an Eagle,Laura Marling,Once I Was an Eagle,2
Take the Night Off,Laura Marling,Once I Was an Eagle,1
You Know,Laura Marling,Once I Was an Eagle,3
Breathe,Laura Marling,Once I Was an Eagle,4
Master Hunter,Laura Marling,Once I Was an Eagle,5
Little Love Caster,Laura Marling,Once I Was an Eagle,6
Interlude,Laura Marling,Once I Was an Eagle,8
Undine,Laura Marling,Once I Was an Eagle,9
Devil's Resting Place,Laura Marling,Once I Was an Eagle,7
Pray for Me,Laura Marling,Once I Was an Eagle,12
Once,Laura Marling,Once I Was an Eagle,11
When Were You Happy? (And How Long Has That Been),Laura Marling,Once I Was an Eagle,13
Love Be Brave,Laura Marling,Once I Was an Eagle,14
Little Bird,Laura Marling,Once I Was an Eagle,15
Where Can I Go?,Laura Marling,Once I Was an Eagle,10
Saved These Words,Laura Marling,Once I Was an Eagle,16
Price Tag,Sleater-Kinney,No Cities To Love,1
Fangless,Sleater-Kinney,No Cities To Love,2
Surface Envy,Sleater-Kinney,No Cities To Love,3
No Cities To Love,Sleater-Kinney,No Cities To Love,4
A New Wave,Sleater-Kinney,No Cities To Love,5
No Anthems,Sleater-Kinney,No Cities To Love,6
Gimme Love,Sleater-Kinney,No Cities To Love,7
Bury Our Friends,Sleater-Kinney,No Cities To Love,8
Hey Darling,Sleater-Kinney,No Cities To Love,9
Fade,Sleater-Kinney,No Cities To Love,10
For – Peter – Toilet Brushes – More,Nils Frahm,Spaces,8
An Aborted Beginning,Nils Frahm,Spaces,1
Says,Nils Frahm,Spaces,2
Said and Done,Nils Frahm,Spaces,3
Went Missing,Nils Frahm,Spaces,4
Familiar,Nils Frahm,Spaces,5
Improvisation for Coughs and a Cell Phone,Nils Frahm,Spaces,6
Hammers,Nils Frahm,Spaces,7
Unter – Tristana – Ambre,Nils Frahm,Spaces,10
Ross's Harmonium,Nils Frahm,Spaces,11
"Over There, It's Raining",Nils Frahm,Spaces,9
Why Keep On Breaking My Heart,Nina Simone,Wild Is The Wind,7
I Love Your Lovin' Ways,Nina Simone,Wild Is The Wind,1
Lilac Wine,Nina Simone,Wild Is The Wind,4
That's All I Ask,Nina Simone,Wild Is The Wind,5
Break Down And Let It All Out,Nina Simone,Wild Is The Wind,6
Wild Is The Wind (Live In New York/1964),Nina Simone,Wild Is The Wind,8
What More Can I Say?,Nina Simone,Wild Is The Wind,3
Black Is The Color Of My True Love's Hair (Live In New York/1964),Nina Simone,Wild Is The Wind,9
Either Way I Lose,Nina Simone,Wild Is The Wind,11
If I Should Lose You,Nina Simone,Wild Is The Wind,10
Four Women,Nina Simone,Wild Is The Wind,2
The Voyager,Jenny Lewis,The Voyager,10
Love U Forever,Jenny Lewis,The Voyager,9
Head Underwater,Jenny Lewis,The Voyager,1
She's Not Me,Jenny Lewis,The Voyager,2
Just One Of The Guys,Jenny Lewis,The Voyager,3
Aloha & The Three Johns,Jenny Lewis,The Voyager,8
The New You,Jenny Lewis,The Voyager,7
You Can't Outrun 'Em,Jenny Lewis,The Voyager,6
Late Bloomer,Jenny Lewis,The Voyager,5
Slippery Slopes,Jenny Lewis,The Voyager,4
Cloudbank,Julianna Barwick,Florine,2
The Highest,Julianna Barwick,Florine,3
Choose,Julianna Barwick,Florine,4
Anjos,Julianna Barwick,Florine,5
Bode,Julianna Barwick,Florine,6
"Sunlight, Heaven",Julianna Barwick,Florine,1
Emissary (feat. Ren Ford),Keaton Henson,Romantic Works,9
Elevator Song (feat. Ren Ford),Keaton Henson,Romantic Works,2
Nearly Curtains,Keaton Henson,Romantic Works,8
Earnestly Yours (feat. Ren Ford),Keaton Henson,Romantic Works,7
Field (feat. Ren Ford),Keaton Henson,Romantic Works,4
Preface,Keaton Henson,Romantic Works,1
Healah Dancing (feat. Ren Ford),Keaton Henson,Romantic Works,3
Josella (feat. Ren Ford),Keaton Henson,Romantic Works,5
Petrichor,Keaton Henson,Romantic Works,6
Your Arms Around Me,Jens Lekman,Night Falls Over Kortedala,8
It Was a Strange Time in My Life,Jens Lekman,Night Falls Over Kortedala,10
Shirin,Jens Lekman,Night Falls Over Kortedala,9
If I Could Cry (it would feel like this),Jens Lekman,Night Falls Over Kortedala,7
I'm Leaving You Because I Don't Love You,Jens Lekman,Night Falls Over Kortedala,6
Into Eternity,Jens Lekman,Night Falls Over Kortedala,5
The Opposite of Hallelujah,Jens Lekman,Night Falls Over Kortedala,3
Sipping On the Sweet Nectar,Jens Lekman,Night Falls Over Kortedala,2
A Postcard to Nina,Jens Lekman,Night Falls Over Kortedala,4
Friday Night at the Drive-In Bingo,Jens Lekman,Night Falls Over Kortedala,12
And I Remember Every Kiss,Jens Lekman,Night Falls Over Kortedala,1
Kanske Ar Jag Kar i Dig,Jens Lekman,Night Falls Over Kortedala,11
Circle,Shugo Tokumaru,In Focus?,1
Katachi,Shugo Tokumaru,In Focus?,2
Gamma,Shugo Tokumaru,In Focus?,3
Decorate,Shugo Tokumaru,In Focus?,4
Call,Shugo Tokumaru,In Focus?,5
Ord Gate,Shugo Tokumaru,In Focus?,8
Poker,Shugo Tokumaru,In Focus?,7
Pah-Paka,Shugo Tokumaru,In Focus?,9
Tightrope,Shugo Tokumaru,In Focus?,10
Helictite (LeSeMoDe),Shugo Tokumaru,In Focus?,11
Shirase,Shugo Tokumaru,In Focus?,12
Micro Guitar Music,Shugo Tokumaru,In Focus?,13
Down Down,Shugo Tokumaru,In Focus?,14
Mubyo,Shugo Tokumaru,In Focus?,6
Balloon,Shugo Tokumaru,In Focus?,15
