Name,Artist,Album,Track Number
Set Out Running,Neko Case,Furnace Room Lullaby,1
Lonely Daze,Kate Tempest,Everybody Down,3
Swim (Kosi's Swim-Edit),DJ Koze,Reincarnations - The remix chapter 2001 - 2009,7
'Helden' (German Version 1989 Remix) [2002 Remastered Version] (German Version 1989 Remix; 2002 Remastered Version),David Bowie,'Heroes'/'Helden'/'Héros' E.P.,2
Paris Is Burning,St. Vincent,Marry Me,5
Mizu Tor,Bill Wells,Lemondale,9
Be Brave,My Brightest Diamond,All Things Will Unwind,5
Not About Love (Album Version),Fiona Apple,Extraordinary Machine,11
Maybe Tonight (Album Version),Nicole Atkins,Neptune City,1
I'm Leaving You Because I Don't Love You,Jens Lekman,Night Falls Over Kortedala,6
I Am Not Afraid,Owen Pallett,In Conflict,1
Look at Miss Ohio,Gillian Welch and David Rawlings,Jimmy Carter: Man from Plains,5
I’ll Never Lie Again,Lavender Diamond,Imagine Our Love,5
Everything You Wanted,Kele,The Boxer,5
Acid Tongue,Jenny Lewis,Acid Tongue,5
Five Years (2012 Remastered Version),David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (Remastered Version),1
Go On,Basia Bulat,Heart Of My Own,1
How I Long,Gorky's Zygotic Mynci,How I Long To Feel That Summer In My Heart,10
What Kind Of Man,Florence + The Machine,What Kind Of Man,1
Sunday 1,Francis Macdonald,"Music For String Quartet, Piano And Celeste",10
After Image,The Pastels,Slow Summits,5
White Rabbit,George Benson,The George Benson Collection,6
Here Comes Your Man,Pixies,Doolittle,5
Take It With Me,Tom Waits,Mule Variations,15
